Year,113 Cause Name,Cause_Name,State,Deaths
2016,Malignant neoplasms (C00-C97),Cancer,Utah,3125
2016,Malignant neoplasms (C00-C97),Cancer,Hawaii,2401
2016,Malignant neoplasms (C00-C97),Cancer,Arizona,11876
2016,Malignant neoplasms (C00-C97),Cancer,Colorado,7928
2016,Malignant neoplasms (C00-C97),Cancer,New Mexico,3560
2016,Malignant neoplasms (C00-C97),Cancer,California,59515
2016,Malignant neoplasms (C00-C97),Cancer,Wyoming,962
2016,Malignant neoplasms (C00-C97),Cancer,North Dakota,1253
2016,Malignant neoplasms (C00-C97),Cancer,Connecticut,6696
2016,Malignant neoplasms (C00-C97),Cancer,Montana,2031
2016,Malignant neoplasms (C00-C97),Cancer,Florida,44266
2016,Malignant neoplasms (C00-C97),Cancer,New York,35368
2016,Malignant neoplasms (C00-C97),Cancer,Texas,40195
2016,Malignant neoplasms (C00-C97),Cancer,Minnesota,9857
2016,Malignant neoplasms (C00-C97),Cancer,New Jersey,16377
2016,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12717
2016,Malignant neoplasms (C00-C97),Cancer,Idaho,2884
2016,Malignant neoplasms (C00-C97),Cancer,Washington,12594
2016,Malignant neoplasms (C00-C97),Cancer,Nebraska,3477
2016,Malignant neoplasms (C00-C97),Cancer,Oregon,8078
2016,Malignant neoplasms (C00-C97),Cancer,Virginia,15027
2016,Malignant neoplasms (C00-C97),Cancer,Maryland,10911
2016,Malignant neoplasms (C00-C97),Cancer,South Dakota,1694
2016,Malignant neoplasms (C00-C97),Cancer,Nevada,5214
2016,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2171
2016,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11498
2016,Malignant neoplasms (C00-C97),Cancer,Vermont,1356
2016,Malignant neoplasms (C00-C97),Cancer,Kansas,5484
2016,Malignant neoplasms (C00-C97),Cancer,Alaska,995
2016,Malignant neoplasms (C00-C97),Cancer,Iowa,6432
2016,Malignant neoplasms (C00-C97),Cancer,Georgia,17184
2016,Malignant neoplasms (C00-C97),Cancer,North Carolina,19523
2016,Malignant neoplasms (C00-C97),Cancer,Illinois,24389
2016,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2875
2016,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28492
2016,Malignant neoplasms (C00-C97),Cancer,Michigan,20870
2016,Malignant neoplasms (C00-C97),Cancer,Missouri,12696
2016,Malignant neoplasms (C00-C97),Cancer,South Carolina,10356
2016,Malignant neoplasms (C00-C97),Cancer,Maine,3275
2016,Malignant neoplasms (C00-C97),Cancer,Delaware,2124
2016,Malignant neoplasms (C00-C97),Cancer,Louisiana,9149
2016,Malignant neoplasms (C00-C97),Cancer,Indiana,13424
2016,Malignant neoplasms (C00-C97),Cancer,Ohio,25509
2016,Malignant neoplasms (C00-C97),Cancer,Alabama,10419
2016,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8115
2016,Malignant neoplasms (C00-C97),Cancer,Arkansas,6612
2016,Malignant neoplasms (C00-C97),Cancer,Tennessee,14450
2016,Malignant neoplasms (C00-C97),Cancer,West Virginia,4659
2016,Malignant neoplasms (C00-C97),Cancer,Mississippi,6568
2016,Malignant neoplasms (C00-C97),Cancer,Kentucky,10363
